<details> <summary> <b>luci-app-mosdns new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
8a48eca|sbwml|Fri Mar 20 10:53:43 2026 +0800|ci: update workflow
6f31050|sbwml|Fri Mar 20 10:41:54 2026 +0800|mosdns: update dependencies
7dcc097|sbwml|Fri Mar 20 10:33:19 2026 +0800|v2day: unpack: optimize memory usage
43071cb|sbwml|Fri Mar 20 09:26:14 2026 +0800|luci-app-mosdns: rules: call RPC to restart to avoid slow LuCI response issues
ef4f9b2|sbwml|Fri Mar 20 09:03:30 2026 +0800|luci-app-mosdns: prevent ubus timeouts by using standalone ucode script
96a80c9|sbwml|Thu Mar 19 20:42:39 2026 +0800|luci-app-mosdns: bumo to 1.7.0
6ce42ef|sbwml|Thu Mar 19 20:41:36 2026 +0800|luci-app-mosdns: i18n: update zh_Hans translations
0c1e16d|sbwml|Thu Mar 19 20:10:29 2026 +0800|luci-app-mosdns: rewrite RPC side using ucode
737214d|sbwml|Thu Mar 19 14:03:06 2026 +0800|luci-app-mosdns: correctly handle empty rule inputs
</details>
