<details> <summary> <b>luci-theme-aurora new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
57c2e0d|Eamon|Sun May 31 12:13:08 2026 +0800|fix: remove redundant svg check causing ucode syntax error in header.ut
10ee08d|Eamon|Sun May 31 11:58:13 2026 +0800|feat: flatten pwa/ directory, remove unused assets, dynamic favicon chain
cef67c0|Eamon|Sun May 31 10:59:38 2026 +0800|fix: replace PWA icons with properly designed maskable variants (v0.11.11)
944e7c5|Eamon|Sun May 31 10:55:39 2026 +0800|fix: patch incompatible styles for luci-mod-dashboard (#66)
4a138d4|Eamon|Sun May 31 10:41:16 2026 +0800|fix: load aurora-font.css on login page and apply font-mono to log areas
08bdedd|Eamon|Sat May 30 21:50:54 2026 +0800|refactor: remove dead login component styles from main.css
a77b969|Eamon|Sat May 30 21:46:49 2026 +0800|feat: login divider fade-in animation with gradient (v0.11.10)
b306eec|Eamon|Sat May 30 21:16:51 2026 +0800|feat: login LQIP background + INP compositor fix (v0.12.0)
</details>
