<details> <summary> <b>openwrt-passwall new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
07ca9229|wybb|Mon Aug 17 08:54:14 2026 +0800|luci: migrate legacy HAProxy health check type (#4451)
0b1eca89|A-BO|Mon Aug 17 08:49:46 2026 +0800|luci: socks sortable
b166d45c|A-BO|Mon Aug 17 08:40:12 2026 +0800|luci: adjust delete node the socks logic
b30aa098|A-BO|Mon Aug 17 08:21:21 2026 +0800|luci: remove naive core
4a296cd4|A-BO|Sun Aug 16 23:12:54 2026 +0800|luci: optimize code
6a749d1b|A-BO|Sun Aug 16 21:37:17 2026 +0800|luci: server: add WireGuard
b4c54790|A-BO|Sun Aug 16 19:05:05 2026 +0800|luci: fix `node_subscribe_config` edit
3a63dd89|A-BO|Sun Aug 16 19:04:18 2026 +0800|luci: add `remote_rewrite_ttl` option with Sing-Box
406fe2eb|wybb|Sun Aug 16 11:27:56 2026 +0800|luci: migrate legacy server sections (#4450)
</details>
