<details> <summary> <b>openwrt-passwall2 new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
2617adf|handsomeji|Sun Aug 9 09:21:37 2026 +0800|luci: `gen_short_uuid()` -> `gen_random_char()`
9d5b186|handsomeji|Sun Aug 9 09:15:46 2026 +0800|luci: fix typo
e840e43|handsomeji|Sun Aug 9 01:39:21 2026 +0800|luci: optimize and fix detail
1450c76|handsomeji|Sun Aug 9 00:35:52 2026 +0800|luci: Sing-Box add `cipherSuites` option
c62cdd7|handsomeji|Sat Aug 8 22:34:45 2026 +0800|luci: fix #1185
89b4527|handsomeji|Sat Aug 8 22:01:31 2026 +0800|luci: Xray add `cipherSuites` option
54cac8e|handsomeji|Sat Aug 8 19:24:13 2026 +0800|luci: subscribe_list does not use anonymous id
adb0a00|handsomeji|Sat Aug 8 19:02:41 2026 +0800|luci: acl_rule does not use anonymous id
5f5e247|handsomeji|Sat Aug 8 20:47:05 2026 +0800|luci: fix socks
708363d|handsomeji|Sat Aug 8 19:09:09 2026 +0800|luci: section cfgid add prefix
95130e8|handsomeji|Sat Aug 8 15:27:00 2026 +0800|luci: optimize code
bc2cdb3|A-BO|Sat Aug 8 13:20:32 2026 +0800|luci: optimize shunt rules group
</details>
