<details> <summary> <b>luci new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
3e514b4ba7|Tianling Shen|Sat May 2 16:42:39 2026 +0800|Merge Official Source
df636aad02|Tianling Shen|Tue Mar 24 10:00:00 2026 +0800|luci-app-adguardhome: add enabled option
a611522a2b|Dirk Brenken|Thu Apr 30 11:43:28 2026 +0200|luci-app-banip: release 1.8.8-1
15aabe7f02|Dirk Brenken|Tue Apr 28 20:06:26 2026 +0200|luci-app-banip: release 1.8.7-1
4764bf417c|Stan Grishin|Sat Apr 25 01:17:15 2026 +0000|luci-app-https-dns-proxy: update to 2025.12.29-5
1625d25580|Stan Grishin|Fri Apr 24 17:30:20 2026 +0000|luci-app-adblock-fast: update to 1.2.2-r18
e3490d2836|Paul Donald|Sat Apr 25 14:32:00 2026 +0200|luci-app-ocserv: correct JSON user data
4e714a8b9f|Hannu Nyman|Sat Apr 25 12:00:28 2026 +0300|treewide: backport translations
e91321e001|Paul Donald|Fri Apr 24 17:33:46 2026 +0200|luci-app-ocserv: correct JSON user data
</details>
