<details> <summary> <b>lede new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
bbe358fd8|coolsnowwolf|Sat Mar 7 10:02:01 2026 +0800|qualcommax: add Xiaomi Redmi AX5400 support
d055f8ba1|coolsnowwolf|Wed Mar 4 10:09:03 2026 +0800|qualcommax: ipq60xx: add AnySafe E1 support
883fd76b9|coolsnowwolf|Tue Mar 3 19:05:39 2026 +0800|qualcommax: ipq60xx: add Philips LY1800 support
4986fa260|coolsnowwolf|Mon Jun 22 10:32:51 2026 +0800|qualcommax: ipq50xx: add support for Xiaomi Redmi AX5400
3d182dbcd|coolsnowwolf|Mon Jun 22 10:09:03 2026 +0800|qualcommax: ipq60xx: add AnySafe E1 support
a1a9cfe97|coolsnowwolf|Mon Jun 22 09:55:39 2026 +0800|qualcommax: ipq60xx: add Philips LY1800 support
d6d9804e7|coolsnowwolf|Mon Jun 22 09:40:25 2026 +0800|airoha: add RTL8261N PHY support
df656f86f|coolsnowwolf|Mon Jun 22 01:51:54 2026 +0800|mt76: add NPU offload fixes for mt7996
fe9ce6c5f|coolsnowwolf|Mon Jun 22 01:51:54 2026 +0800|airoha: w1700k: use available Realtek PHY package
d545f969b|Ryan Chen|Fri Mar 6 13:44:32 2026 -0600|airoha: an7581: w1700k: increase RTL8261N PHY reset timing to match OEM
1cdb6c621|Andrew LaMarche|Tue Jan 28 02:52:16 2025 +0000|airoha: add support for Gemtek W1700K
fb3bc6f28|Andrew LaMarche|Sun Mar 8 20:48:25 2026 +0000|airoha: an7581: remove source-only
3de5870dc|Andrew LaMarche|Fri Feb 20 15:03:12 2026 +0000|airoha: an7581: add uboot-envtools to default packages
490551a07|Andrew LaMarche|Fri Feb 20 15:04:32 2026 +0000|airoha: add leds-gpio and gpio-button-hotplug to default packages
d374dc6cb|coolsnowwolf|Mon Jun 22 02:38:04 2026 +0800|uboot-airoha: add AN7581 W1700K bootloader support

</details>
