<details> <summary> <b>luci new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
3276e3a8|coolsnowwolf|Sat Apr 11 22:10:31 2026 +0800|luci-mod-network: bump version
4ef0f2c1|coolsnowwolf|Sat Apr 11 19:47:48 2026 +0800|luci-mod-network: add support for BE EHT320 6Ghz
39f7de08|coolsnowwolf|Sat Apr 11 19:26:36 2026 +0800|luci-mod-network: add weak signal rejection for wireless setting
9102bfb2|coolsnowwolf|Sat Apr 11 16:06:26 2026 +0800|luci-theme-design: fix dropdown popups in nested form sections
b8427965|coolsnowwolf|Sat Apr 11 15:35:27 2026 +0800|luci-newapi: remove package and combine change to network.js
2dabce7f|coolsnowwolf|Sat Apr 11 15:21:03 2026 +0800|luci-proto-openvpnc: switch to js luci style view
27f88539|coolsnowwolf|Sat Apr 11 14:45:14 2026 +0800|luci-proto-openvpn: add package for openvpn client protocol support
bee162b3|coolsnowwolf|Sat Apr 11 14:27:10 2026 +0800|luci-app-pbr: compatible with firewall4
3c061e5e|coolsnowwolf|Sat Apr 11 13:58:17 2026 +0800|luci-app-pbr: add fw3 and fw4 depend
</details>
